participant.id,ankleshoulder,,comment
1,52.5,,
2,50,,
3,49.5,,
4,54.5,,
5,49,,
6,50.5,,
7,50.25,,
8,47,,
9,54,,
10,54.5,,
11,49,,
12,52.5,,
13,55,,
14,53,,
15,53.25,,
16,51.5,,
17,51.5,,
18,48,,
19,47,,
20,47.25,,
21,48,,
22,47,,
23,49,,
24,55,,
